
============
INPUT STATUS
============
Total Chunks: 1000
steps per chunk: 20
Interval: 1.000000 to 100.000000
============
Area for process 1, is: 0.109124
Area for process 28, is: 1.371924
Area for process 2, is: 0.130667
Area for process 8, is: 0.300675
Area for process 10, is: 0.372869
Area for process 16, is: 0.636026
Area for process 20, is: 0.850276
Area for process 24, is: 1.095575
Area for process 26, is: 1.229869
Area for process 20, is: 3.219413
Area for process 26, is: 3.446855
Area for process 20, is: 3.563487
Area for process 26, is: 3.682059
Area for process 26, is: 3.925026
Area for process 26, is: 4.049420
Area for process 26, is: 4.175755
Area for process 26, is: 4.304031
Area for process 26, is: 4.434247
Area for process 26, is: 4.566403
Area for process 26, is: 4.700501
Area for process 26, is: 4.836539
Area for process 26, is: 4.974517
Area for process 20, is: 3.802572
Area for process 26, is: 5.114436
Area for process 20, is: 5.256296
Area for process 26, is: 5.400096
Area for process 20, is: 5.545837
Area for process 26, is: 5.693518
Area for process 20, is: 5.843140
Area for process 26, is: 5.994703
Area for process 26, is: 6.303650
Area for process 26, is: 6.461035
Area for process 26, is: 6.620360
Area for process 26, is: 6.781625
Area for process 26, is: 6.944832
Area for process 26, is: 7.109979
Area for process 26, is: 7.277066
Area for process 26, is: 7.446094
Area for process 26, is: 7.617063
Area for process 26, is: 7.789972
Area for process 26, is: 7.964822
Area for process 26, is: 8.141612
Area for process 26, is: 8.320343
Area for process 26, is: 8.501015
Area for process 26, is: 8.683627
Area for process 26, is: 8.868180
Area for process 26, is: 9.054673
Area for process 26, is: 9.243107
Area for process 26, is: 9.433482
Area for process 26, is: 9.625797
Area for process 26, is: 9.820053
Area for process 26, is: 10.016249
Area for process 26, is: 10.214386
Area for process 26, is: 10.414464
Area for process 26, is: 10.616482
Area for process 26, is: 10.820441
Area for process 26, is: 11.026341
Area for process 26, is: 11.234181
Area for process 26, is: 11.443961
Area for process 26, is: 11.655682
Area for process 26, is: 11.869344
Area for process 26, is: 12.084947
Area for process 26, is: 12.302490
Area for process 26, is: 12.521973
Area for process 26, is: 12.743397
Area for process 26, is: 12.966762
Area for process 26, is: 13.192067
Area for process 26, is: 13.419313
Area for process 26, is: 13.648500
Area for process 26, is: 13.879627
Area for process 26, is: 14.112695
Area for process 26, is: 14.347703
Area for process 26, is: 14.584652
Area for process 26, is: 14.823542
Area for process 26, is: 15.064372
Area for process 26, is: 15.307143
Area for process 26, is: 15.551854
Area for process 26, is: 15.798506
Area for process 26, is: 16.047099
Area for process 26, is: 16.297632
Area for process 26, is: 16.550106
Area for process 26, is: 16.804520
Area for process 26, is: 17.060875
Area for process 26, is: 17.319171
Area for process 26, is: 17.579407
Area for process 26, is: 17.841583
Area for process 26, is: 18.105701
Area for process 26, is: 18.371759
Area for process 26, is: 18.639757
Area for process 26, is: 18.909696
Area for process 26, is: 19.181576
Area for process 26, is: 19.455397
Area for process 26, is: 19.731157
Area for process 26, is: 20.008859
Area for process 26, is: 20.288501
Area for process 26, is: 20.570084
Area for process 26, is: 20.853607
Area for process 26, is: 21.139071
Area for process 26, is: 21.426476
Area for process 26, is: 21.715821
Area for process 26, is: 22.007106
Area for process 26, is: 22.300333
Area for process 26, is: 22.595500
Area for process 26, is: 22.892607
Area for process 26, is: 23.191655
Area for process 26, is: 23.492644
Area for process 26, is: 23.795573
Area for process 26, is: 24.100443
Area for process 26, is: 24.407254
Area for process 26, is: 24.716005
Area for process 26, is: 25.026697
Area for process 26, is: 25.339329
Area for process 26, is: 25.653902
Area for process 26, is: 25.970415
Area for process 26, is: 26.288869
Area for process 26, is: 26.609264
Area for process 26, is: 26.931599
Area for process 26, is: 27.255875
Area for process 26, is: 27.582092
Area for process 26, is: 27.910249
Area for process 26, is: 28.240346
Area for process 26, is: 28.572385
Area for process 26, is: 28.906364
Area for process 26, is: 29.242283
Area for process 26, is: 29.580143
Area for process 26, is: 29.919944
Area for process 26, is: 30.261685
Area for process 26, is: 30.605367
Area for process 26, is: 30.950989
Area for process 26, is: 31.298553
